id,name,area,rang
1,Очаково-Матвеевское,1,1
2,Дорогомилово,1,2
3,Кунцево,1,2
4,Ново-Переделкино,1,2
5,Солнцево,1,2
6,Филёвский Парк,1,2
7,Фили-Давыдково,1,2
8,Внуково,1,3
9,Можайский,1,3
10,Раменки,1,3
11,Тропарёво-Никулино,1,3
12,Крылатское,1,4
13,Проспект Вернадского,1,4
14,Бирюлёво Западное,2,1
15,Даниловский,2,1
16,Нагатино-Садовники,2,1
17,Чертаново Центральное,2,1
18,Братеево,2,2
19,Донской,2,2
20,Зябликово,2,2
21,Москворечье-Сабурово,2,2
22,Нагорный,2,2
23,Царицыно,2,2
24,Чертаново Северное,2,2
25,Бирюлёво Восточное,2,3
26,Нагатинский Затон,2,3
27,Орехово-Борисово Южное,2,3
28,Чертаново Южное,2,3
29,Орехово-Борисово Северное,2,4
30,Щукино,6,2
31,Южное Тушино,6,2
32,Куркино,6,3
33,Покровское-Стрешнево,6,3
34,Митино,6,4
35,Северное Тушино,6,4
36,Строгино,6,4
37,Хорошёво-Мнёвники,6,4
38,Капотня,8,1
39,Лефортово,8,1
40,Марьино,8,1
41,Некрасовка,8,1
42,Нижегородский,8,1
43,Печатники,8,1
44,Рязанский,8,1
45,Выхино-Жулебино,8,2
46,Люблино,8,2
47,Текстильщики,8,2
48,Южнопортовый,8,2
49,Кузьминки,8,3
50,"Щербинка, поселение",10,2
51,"Воскресенское, поселение",10,3
52,"Марушкинское, поселение",10,3
53,"Рязановское, поселение",10,3
54,"Филимонковское, поселение",10,3
55,"Внуковское, поселение",10,4
56,"Десёновское, поселение",10,4
57,"Кокошкино, поселение",10,4
58,"Московский, поселение",10,4
59,"Мосрентген, поселение",10,4
60,"Сосенское, поселение",10,4
61,Крюково,12,2
62,Матушкино,12,4
63,Савёлки,12,4
64,Силино,12,4
65,Старое Крюково,12,4
66,Косино-Ухтомский,3,1
67,Преображенское,3,1
68,Соколиная Гора,3,1
69,Богородское,3,2
70,Вешняки,3,2
71,Гольяново,3,2
72,Новогиреево,3,2
73,Перово,3,2
74,Северное Измайлово,3,2
75,Восточное Измайлово,3,3
76,Восточный,3,3
77,Метрогородок,3,3
78,Новокосино,3,3
79,Ивановское,3,4
80,Измайлово,3,4
81,Сокольники,3,4
82,Восточное Дегунино,4,1
83,Головинский,4,1
84,Дмитровский,4,1
85,Западное Дегунино,4,1
86,Аэропорт,4,2
87,Беговой,4,2
88,Бескудниковский,4,2
89,Войковский,4,2
90,Левобережный,4,2
91,Савёловский,4,2
92,Сокол,4,2
93,Ховрино,4,2
94,Хорошёвский,4,2
95,Коптево,4,3
96,Молжаниновский,4,3
97,Тимирязевский,4,3
98,Арбат,5,2
99,Басманный,5,2
100,Замоскворечье,5,2
101,Красносельский,5,2
102,Мещанский,5,2
103,Пресненский,5,2
104,Таганский,5,2
105,Тверской,5,2
106,Хамовники,5,3
107,Якиманка,5,3
108,Алтуфьевский,7,1
109,Бабушкинский,7,1
110,Бутырский,7,1
111,Северное Медведково,7,1
112,Алексеевский,7,2
113,Бибирево,7,2
114,Лосиноостровский,7,2
115,Марьина Роща,7,2
116,Свиблово,7,2
117,Лианозово,7,3
118,Останкинский,7,3
119,Отрадное,7,3
120,Ростокино,7,3
121,Южное Медведково,7,3
122,Марфино,7,4
123,Северный,7,4
124,Ярославский,7,4
125,Академический,9,2
126,Гагаринский,9,2
127,Черёмушки,9,2
128,Южное Бутово,9,2
129,Зюзино,9,3
130,Коньково,9,3
131,Котловка,9,3
132,Ломоносовский,9,3
133,Обручевский,9,4
134,Северное Бутово,9,4
135,Тёплый Стан,9,4
136,Ясенево,9,4
137,"Киевский, поселение",11,3
138,"Клёновское, поселение",11,3
139,"Краснопахорское, поселение",11,3
140,"Михайлово-Ярцевское, поселение",11,3
141,"Новофёдоровское, поселение",11,3
142,"Первомайское, поселение",11,3
143,"Роговское, поселение",11,3
144,"Щаповское, поселение",11,3
145,"Вороновское, поселение",11,4
146,"Троицк, поселение",11,4
