name;district;rang
Очаково-Матвеевское;ЗАО;1
Дорогомилово;ЗАО;2
Кунцево;ЗАО;2
Ново-Переделкино;ЗАО;2
Солнцево;ЗАО;2
Филёвский Парк;ЗАО;2
Фили-Давыдково;ЗАО;2
Внуково;ЗАО;3
Можайский;ЗАО;3
Раменки;ЗАО;3
Тропарёво-Никулино;ЗАО;3
Крылатское;ЗАО;4
Проспект Вернадского;ЗАО;4
Бирюлёво Западное;ЮАО;1
Даниловский;ЮАО;1
Нагатино-Садовники;ЮАО;1
Чертаново Центральное;ЮАО;1
Братеево;ЮАО;2
Донской;ЮАО;2
Зябликово;ЮАО;2
Москворечье-Сабурово;ЮАО;2
Нагорный;ЮАО;2
Царицыно;ЮАО;2
Чертаново Северное;ЮАО;2
Бирюлёво Восточное;ЮАО;3
Нагатинский Затон;ЮАО;3
Орехово-Борисово Южное;ЮАО;3
Чертаново Южное;ЮАО;3
Орехово-Борисово Северное;ЮАО;4
Щукино;СЗАО;2
Южное Тушино;СЗАО;2
Куркино;СЗАО;3
Покровское-Стрешнево;СЗАО;3
Митино;СЗАО;4
Северное Тушино;СЗАО;4
Строгино;СЗАО;4
Хорошёво-Мнёвники;СЗАО;4
Капотня;ЮВАО;1
Лефортово;ЮВАО;1
Марьино;ЮВАО;1
Некрасовка;ЮВАО;1
Нижегородский;ЮВАО;1
Печатники;ЮВАО;1
Рязанский;ЮВАО;1
Выхино-Жулебино;ЮВАО;2
Люблино;ЮВАО;2
Текстильщики;ЮВАО;2
Южнопортовый;ЮВАО;2
Кузьминки;ЮВАО;3
Щербинка, поселение;Новомосковский округ;2
Воскресенское, поселение;Новомосковский округ;3
Марушкинское, поселение;Новомосковский округ;3
Рязановское, поселение;Новомосковский округ;3
Филимонковское, поселение;Новомосковский округ;3
Внуковское, поселение;Новомосковский округ;4
Десёновское, поселение;Новомосковский округ;4
Кокошкино, поселение;Новомосковский округ;4
Московский, поселение;Новомосковский округ;4
Мосрентген, поселение;Новомосковский округ;4
Сосенское, поселение;Новомосковский округ;4
Крюково;Зеленоградский округ;2
Матушкино;Зеленоградский округ;4
Савёлки;Зеленоградский округ;4
Силино;Зеленоградский округ;4
Старое Крюково;Зеленоградский округ;4
Косино-Ухтомский;ВАО;1
Преображенское;ВАО;1
Соколиная Гора;ВАО;1
Богородское;ВАО;2
Вешняки;ВАО;2
Гольяново;ВАО;2
Новогиреево;ВАО;2
Перово;ВАО;2
Северное Измайлово;ВАО;2
Восточное Измайлово;ВАО;3
Восточный;ВАО;3
Метрогородок;ВАО;3
Новокосино;ВАО;3
Ивановское;ВАО;4
Измайлово;ВАО;4
Сокольники;ВАО;4
Восточное Дегунино;САО;1
Головинский;САО;1
Дмитровский;САО;1
Западное Дегунино;САО;1
Аэропорт;САО;2
Беговой;САО;2
Бескудниковский;САО;2
Войковский;САО;2
Левобережный;САО;2
Савёловский;САО;2
Сокол;САО;2
Ховрино;САО;2
Хорошёвский;САО;2
Коптево;САО;3
Молжаниновский;САО;3
Тимирязевский;САО;3
Арбат;ЦАО;2
Басманный;ЦАО;2
Замоскворечье;ЦАО;2
Красносельский;ЦАО;2
Мещанский;ЦАО;2
Пресненский;ЦАО;2
Таганский;ЦАО;2
Тверской;ЦАО;2
Хамовники;ЦАО;3
Якиманка;ЦАО;3
Алтуфьевский;СВАО;1
Бабушкинский;СВАО;1
Бутырский;СВАО;1
Северное Медведково;СВАО;1
Алексеевский;СВАО;2
Бибирево;СВАО;2
Лосиноостровский;СВАО;2
Марьина Роща;СВАО;2
Свиблово;СВАО;2
Лианозово;СВАО;3
Останкинский;СВАО;3
Отрадное;СВАО;3
Ростокино;СВАО;3
Южное Медведково;СВАО;3
Марфино;СВАО;4
Северный;СВАО;4
Ярославский;СВАО;4
Академический;ЮЗАО;2
Гагаринский;ЮЗАО;2
Черёмушки;ЮЗАО;2
Южное Бутово;ЮЗАО;2
Зюзино;ЮЗАО;3
Коньково;ЮЗАО;3
Котловка;ЮЗАО;3
Ломоносовский;ЮЗАО;3
Обручевский;ЮЗАО;4
Северное Бутово;ЮЗАО;4
Тёплый Стан;ЮЗАО;4
Ясенево;ЮЗАО;4
Киевский, поселение;Троицкий округ;3
Клёновское, поселение;Троицкий округ;3
Краснопахорское, поселение;Троицкий округ;3
Михайлово-Ярцевское, поселение;Троицкий округ;3
Новофёдоровское, поселение;Троицкий округ;3
Первомайское, поселение;Троицкий округ;3
Роговское, поселение;Троицкий округ;3
Щаповское, поселение;Троицкий округ;3
Вороновское, поселение;Троицкий округ;4
Троицк, поселение;Троицкий округ;4
